symbol,pnl,ret_pct,exit_reason,confirmed,tier,r72_pct,r24_pct,r6_pct,vr,entry_price,qty,ret_1h,ret_2h,ret_3h,ret_4h,mfe_1h,mfe_4h,mae_1h,mae_4h
TIA/USDT,-281.26,-0.36,pump_stagnation_exit,True,B,28.0,33.0,14.0,2.3,15.6,3205.81,5.61,0.89,-0.69,-0.04,7.75,7.75,-1.81,-2.27
GMT/USDT,61.81,0.61,pump_breakeven,False,B,34.0,48.0,21.0,5.5,0.41,36841.9,2.81,2.19,0.64,0.64,3.22,8.32,-1.45,-1.53
RIF/USDT,845.08,1.88,pump_stagnation_exit,True,B,23.0,24.0,17.0,2.9,0.15,322914.4,4.87,3.25,4.41,3.44,5.13,7.65,-1.6,-1.6
BONK/USDT,450.84,3.21,pump_lock_2pct,False,B,12.0,21.0,18.0,4.7,0.0,1210929018.52,-1.99,-3.45,-3.28,0.76,-0.05,0.92,-3.12,-6.92
AUCTION/USDT,1063.5,7.23,pump_breakeven,False,B,-3.0,21.0,22.0,5.7,21.42,707.39,7.28,7.28,7.28,7.28,9.05,9.05,-0.52,-0.52
ARK/USDT,-460.67,-2.84,pump_probe_kill,False,B,11.0,22.0,14.0,28.4,0.84,18157.45,2.01,-0.61,-3.88,-1.65,4.14,4.14,-0.54,-6.15
SKL/USDT,-738.71,-4.63,pump_3h_down,False,B,33.0,30.0,10.0,1.9,0.1,153842.98,-1.47,-3.65,-4.61,-4.61,1.47,1.47,-2.65,-4.95
PENDLE/USDT,2397.1,4.84,pump_stagnation_exit,True,B,26.0,32.0,11.0,2.2,1.65,30794.67,2.7,2.46,2.07,0.48,3.06,4.88,-1.19,-1.19
JTO/USDT,-840.64,-5.5,pump_3h_down,False,B,31.0,23.0,12.0,3.4,1.95,7588.65,-1.29,-1.12,-4.94,-5.49,0.49,0.63,-2.12,-7.99
ENS/USDT,2777.71,9.13,pump_lock_2pct,False,A,51.0,47.0,13.0,2.2,20.89,1489.82,-0.24,3.54,9.19,9.19,3.16,11.68,-0.62,-0.62
ENS/USDT,-59.56,-0.19,pump_breakeven,False,B,70.0,45.0,20.0,2.3,22.82,673.77,4.77,-0.14,-0.14,-0.14,7.31,9.11,-0.66,-0.88
SYN/USDT,211.94,0.59,pump_lock_2pct,True,B,35.0,26.0,11.0,2.8,0.49,104579.23,-1.49,-3.78,0.98,7.81,5.66,8.54,-3.8,-5.14
XTZ/USDT,-1184.84,-7.52,pump_3h_down,False,B,31.0,35.0,21.0,10.7,1.17,13109.12,-4.57,-5.77,-7.39,-7.39,0.63,0.63,-5.26,-9.1
LPT/USDT,-949.29,-5.87,pump_3h_down,False,B,31.0,26.0,20.0,7.9,9.17,1705.16,-4.19,-4.63,-5.94,-5.94,0.39,0.39,-4.85,-6.48
CTSI/USDT,2721.3,17.77,pump_lock_2pct,False,B,25.0,36.0,34.0,91.6,0.25,62855.79,17.87,17.87,17.87,17.87,29.75,29.75,-0.17,-0.17
LSK/USDT,4183.68,26.52,pump_lock_2pct,False,B,5.0,18.0,15.0,5.0,1.12,14173.04,-4.86,26.59,26.59,26.59,0.22,31.84,-6.11,-6.11
LSK/USDT,702.56,2.05,pump_lock_2pct,True,B,13.0,25.0,20.0,77.8,1.2,30393.46,-1.22,3.96,-0.88,2.71,2.04,7.55,-3.56,-3.56
TRB/USDT,-354.57,-1.93,pump_3h_down,False,B,16.0,19.0,16.0,6.0,121.64,136.82,0.98,-1.54,-1.46,-1.67,2.64,2.64,-1.46,-2.66
MAV/USDT,1634.58,3.12,pump_stagnation_exit,True,B,16.0,20.0,16.0,4.9,0.63,88062.42,0.01,0.35,1.72,2.88,1.65,3.42,-1.2,-1.2
SUI/USDT,-979.61,-1.53,pump_stagnation_exit,True,B,24.0,19.0,15.0,2.6,1.42,39110.02,1.96,0.16,1.66,1.51,2.21,3.87,-1.55,-1.55
CKB/USDT,-3288.97,-5.44,pump_breakeven,True,B,30.0,28.0,27.0,121.8,0.0,13276140.07,0.07,1.91,0.45,4.48,1.53,7.56,-2.32,-2.32
DIA/USDT,-1376.36,-8.31,pump_3h_down,False,B,23.0,31.0,19.0,3.2,0.49,32753.53,-3.0,-6.28,-8.28,-8.28,0.05,0.05,-6.74,-8.73
BTTC/USDT,-1265.04,-6.4,pump_probe_kill,False,B,39.0,42.0,41.0,30.6,0.0,17276046258.65,-2.75,-2.75,-5.45,-5.45,2.65,2.65,-4.55,-9.05
BTTC/USDT,-502.19,-2.98,pump_probe_kill,False,B,31.0,36.0,25.0,42.0,0.0,15183256659.09,-0.05,-0.05,-3.89,-3.89,0.91,0.91,-2.93,-5.82
COTI/USDT,-143.7,-0.26,pump_stagnation_exit,False,A,62.0,49.0,21.0,11.6,0.1,309294.61,1.33,5.05,2.85,2.19,6.23,7.41,-0.72,-0.72
REQ/USDT,-694.98,-4.23,pump_3h_down,False,B,26.0,24.0,22.0,54.4,0.1,150900.99,-5.24,-1.68,-3.41,-4.28,0.14,0.62,-5.62,-6.1
